Station1,Station2,Frequency,Station1_lat,Station1_lon,Station2_lat,Station2_lon
和平重慶路口,螢橋國小,201,25.02723,121.51659,25.02609,121.51389
古亭智慧圖書館,捷運中山站(2號出口),219,25.02543,121.51052,25.05228,121.52176
中華路二段409巷口,永昌公園,183,25.02598,121.50806,25.02643,121.50936
南機場夜市(中華路二段),青年公園3號出口,310,25.02886,121.50518,25.02273,121.50271
南機場夜市(中華路二段),萬華火車站(D2廣場),243,25.02886,121.50518,25.03394,121.50117
南機場夜市(中華路二段),捷運臺大醫院站(4號出口),270,25.02886,121.50518,25.04297,121.51643
中華南海路口,南機場夜市(中華路二段),277,25.02703,121.50686,25.02886,121.50518
南機場夜市(中華路二段),圓環站,108,25.02886,121.50518,25.05369,121.51418
南機場夜市(中華路二段),臺北市立圖書館(總館),204,25.02886,121.50518,25.02895,121.5379
北平東杭州北路口,南機場夜市(中華路二段),147,25.04553,121.52736,25.02886,121.50518
南機場夜市(中華路二段),古亭國中,101,25.02886,121.50518,25.02442,121.5107
南機場夜市(中華路二段),捷運龍山寺站(1號出口)_1,310,25.02886,121.50518,25.03548,121.50026
捷運象山站(3號出口),松德虎林街口,210,25.03295,121.5712,25.0383,121.5762
松友公園,松德虎林街口,122,25.03423,121.57636,25.0383,121.5762
捷運六張犁站,捷運永春站(2號出口),138,25.02397,121.55266,25.0405,121.57538
捷運永春站(2號出口),松山家商(林口街),463,25.0405,121.57538,25.03593,121.57906
捷運永春站(2號出口),福德國小,270,25.0405,121.57538,25.03846,121.58618
捷運大安站(4號出口),捷運大安站(6號出口),285,25.0332,121.5439,25.03479,121.54376
捷運麟光站(2號出口),臥龍基隆路口,108,25.0181,121.55929,25.02039,121.54853
敦親公園,臺北市立圖書館(總館),102,25.02347,121.54108,25.02895,121.5379
德昌寶興街口(西北角),敦親公園,257,25.02365,121.49528,25.02347,121.54108
捷運大安森林公園站(5號出口),敦親公園,166,25.03336,121.5364,25.02347,121.54108
和平敦化路口,敦化基隆路口,120,25.02444,121.54908,25.02215,121.54839
和平敦化路口,和平臥龍街口,208,25.02444,121.54908,25.024461,121.546705
忠孝東路四段49巷口,捷運中山站(2號出口),108,25.04172,121.54541,25.05228,121.52176
